Flight_ID,Carrier_Code,Carrier_Name,Origin_City,Origin_IATA,Destination_City,Destination_IATA,Great_Circle_km,Departure_UTC,Arrival_UTC,Block_Hours,Cutoff_UTC,ULD_Capacity_kg,ULD_Volume_m3,Booked_kg,Cost_per_kg,CO2_per_ton_km,Volumetric_Divisor,Accepts_Hazmat,Flight_Status
AF0001,QP,Akasa Freight,Chennai,MAA,Pune,PNQ,914.4,2026-09-18T05:00,2026-09-18T07:13,2.22,2026-09-18T01:00,1588,9.51,1153,95.47,0.62585,6000,NO,SCHEDULED
AF0002,QP,Akasa Freight,Pune,PNQ,Chennai,MAA,914.4,2026-09-24T07:00,2026-09-24T09:13,2.22,2026-09-24T03:00,1588,9.51,1162,86.97,0.60598,6000,NO,SCHEDULED
AF0003,BDQ,BlueDart Aviation,Pune,PNQ,Chennai,MAA,914.4,2026-09-18T17:00,2026-09-18T19:13,2.22,2026-09-18T13:00,4626,27.7,2055,91.9,0.54996,6000,YES,SCHEDULED
AF0004,BDQ,BlueDart Aviation,Pune,PNQ,Chennai,MAA,914.4,2026-09-21T17:00,2026-09-21T19:13,2.22,2026-09-21T13:00,1588,9.51,1053,39.98,0.59364,6000,YES,SCHEDULED
AF0005,BDQ,BlueDart Aviation,Chennai,MAA,Mumbai,BOM,1033.1,2026-09-22T12:00,2026-09-22T14:24,2.42,2026-09-22T08:00,6804,40.74,2120,54.0,0.61387,6000,NO,SCHEDULED
AF0006,AI,Air India Cargo,Mumbai,BOM,Chennai,MAA,1033.1,2026-09-21T06:00,2026-09-21T08:24,2.42,2026-09-21T02:00,6804,40.74,3523,89.01,0.60525,6000,YES,SCHEDULED
AF0007,AI,Air India Cargo,Mumbai,BOM,Chennai,MAA,1033.1,2026-09-24T10:00,2026-09-24T12:24,2.42,2026-09-24T06:00,6804,40.74,3855,62.23,0.60404,6000,NO,SCHEDULED
AF0008,6E,IndiGo CarGo,Chennai,MAA,Nagpur,NAG,905.3,2026-09-19T17:00,2026-09-19T19:12,2.21,2026-09-19T13:00,3175,19.01,1925,61.98,0.63504,6000,NO,SCHEDULED
AF0009,BDQ,BlueDart Aviation,Nagpur,NAG,Chennai,MAA,905.3,2026-09-18T18:00,2026-09-18T20:12,2.21,2026-09-18T14:00,3175,19.01,2470,46.24,0.60954,6000,NO,SCHEDULED
AF0010,BDQ,BlueDart Aviation,Nagpur,NAG,Chennai,MAA,905.3,2026-09-19T19:00,2026-09-19T21:12,2.21,2026-09-19T15:00,3175,19.01,1320,91.92,0.68915,6000,NO,SCHEDULED
