Corridor_ID,Origin,Destination,Road_Distance_km,Urban_Share,Highway_km,Urban_km,Highway_Speed_Limit_kmph,Urban_Speed_Limit_kmph,Effective_Highway_Speed_kmph,Effective_Urban_Speed_kmph,Toll_Cost_per_trip,Night_Driving_Restricted,Hazmat_Permitted,Accident_Rate_per_1000km,Road_Quality_Index
CR0001,F01,C003,769.4,0.214,604.9,164.5,60,30,57,26,455.14,NO,YES,0.985,0.775
CR0002,F01,C004,1164.9,0.258,864.0,300.9,100,50,57,23,689.23,NO,YES,0.183,0.879
CR0003,F01,C007,1745.4,0.167,1453.7,291.7,60,30,48,27,246.06,NO,YES,0.267,0.711
CR0004,F01,C013,4.8,0.154,4.1,0.7,80,30,49,18,1220.93,NO,YES,0.262,0.654
CR0005,F01,C019,1162.4,0.132,1008.5,153.9,80,30,58,19,947.42,NO,YES,0.864,0.794
CR0006,F01,C021,1751.5,0.162,1468.3,283.2,80,50,58,25,28.16,NO,YES,0.197,0.741
CR0007,F01,C024,767.2,0.18,629.1,138.1,80,50,48,21,75.81,NO,YES,0.378,0.784
CR0008,F01,W01,4.8,0.197,3.9,0.9,80,30,46,24,442.19,NO,YES,2.07,0.752
CR0009,F01,W03,372.7,0.075,344.6,28.1,80,40,48,17,43.26,NO,NO,0.553,0.96
CR0010,F02,C001,223.9,0.097,202.3,21.6,60,50,59,20,429.76,NO,YES,0.249,0.71
CR0011,F02,C002,191.2,0.05,181.6,9.6,60,50,53,24,709.57,NO,YES,0.167,0.789
CR0012,F02,C008,181.0,0.216,141.8,39.2,80,30,54,18,216.02,NO,YES,0.192,0.696
CR0013,F02,C009,402.6,0.149,342.8,59.8,80,30,61,23,219.4,YES,YES,0.03,0.794
CR0014,F02,C010,246.4,0.167,205.1,41.3,60,30,56,16,718.7,NO,YES,1.135,0.476
CR0015,F02,C014,2.7,0.074,2.5,0.2,60,50,56,26,350.16,NO,YES,0.519,0.827
CR0016,F02,C016,297.5,0.153,251.9,45.6,100,50,54,26,1444.38,YES,YES,0.864,0.629
CR0017,F02,C017,182.2,0.099,164.2,18.0,100,30,58,21,659.78,NO,YES,0.353,0.658
CR0018,F02,C018,225.0,0.288,160.1,64.9,60,40,58,17,854.03,NO,NO,0.065,0.724
CR0019,F02,W02,3.0,0.232,2.3,0.7,80,50,50,23,355.64,YES,YES,0.481,0.879
CR0020,F02,W03,298.6,0.234,228.9,69.7,100,30,57,27,339.83,NO,YES,0.097,0.561
CR0021,F03,C001,441.5,0.176,363.7,77.8,80,30,47,16,1255.25,YES,YES,0.664,0.838
CR0022,F03,C002,163.9,0.082,150.4,13.5,80,30,51,22,1421.02,NO,YES,0.396,0.791
CR0023,F03,C005,1593.3,0.181,1304.4,288.9,80,40,56,20,1081.85,NO,YES,0.495,0.98
CR0024,F03,C006,2254.8,0.136,1947.1,307.7,80,30,50,26,232.58,NO,YES,0.77,0.858
CR0025,F03,C008,473.8,0.218,370.7,103.1,100,30,60,25,528.08,NO,YES,0.192,0.846
CR0026,F03,C009,381.3,0.133,330.8,50.5,60,50,56,23,1232.29,NO,YES,0.431,0.792
CR0027,F03,C010,349.9,0.196,281.3,68.6,100,30,60,26,720.27,NO,YES,0.283,0.632
CR0028,F03,C011,1092.8,0.129,952.3,140.5,60,50,51,16,903.47,NO,NO,0.439,0.561
CR0029,F03,C012,947.2,0.256,704.7,242.5,80,50,49,24,1411.22,NO,YES,0.148,0.813
CR0030,F03,C013,375.0,0.162,314.4,60.6,60,40,48,21,647.57,NO,YES,0.648,0.705
CR0031,F03,C014,293.9,0.058,276.8,17.1,80,40,55,19,479.84,NO,YES,0.388,0.598
CR0032,F03,C015,643.4,0.163,538.2,105.2,100,50,56,27,493.53,NO,YES,1.149,0.739
CR0033,F03,C016,2.1,0.206,1.7,0.4,60,40,46,20,1442.46,NO,YES,0.45,0.624
CR0034,F03,C017,474.4,0.22,370.3,104.1,80,40,48,24,604.26,NO,NO,0.18,0.659
CR0035,F03,C018,444.3,0.132,385.7,58.6,60,50,60,20,120.47,NO,YES,0.641,0.817
CR0036,F03,C020,2256.0,0.129,1965.8,290.2,80,50,46,26,957.17,YES,YES,0.42,0.794
CR0037,F03,C022,950.2,0.173,786.0,164.2,80,40,57,25,504.41,NO,YES,0.751,0.632
CR0038,F03,C023,1594.7,0.05,1515.0,79.7,100,40,57,25,579.93,NO,YES,0.868,0.796
CR0039,F03,W02,297.0,0.215,233.0,64.0,100,50,53,25,541.71,YES,YES,1.004,0.705
CR0040,F03,W03,2.9,0.233,2.2,0.7,80,30,55,21,822.05,NO,YES,0.621,0.734
CR0041,F04,C003,646.8,0.219,505.1,141.7,100,30,54,24,888.05,YES,YES,0.257,0.979
CR0042,F04,C004,541.4,0.15,460.0,81.4,80,30,51,20,497.73,NO,NO,1.818,0.607
CR0043,F04,C005,1129.8,0.177,929.8,200.0,100,30,56,23,327.18,NO,YES,0.639,0.616
CR0044,F04,C006,1628.7,0.057,1536.2,92.5,60,40,59,27,285.18,NO,YES,0.248,0.922
CR0045,F04,C007,1519.8,0.137,1311.5,208.3,60,50,60,19,730.45,NO,YES,0.189,0.712
CR0046,F04,C011,802.7,0.114,711.3,91.4,80,50,49,22,933.93,NO,YES,0.171,0.665
CR0047,F04,C012,654.5,0.114,580.0,74.5,80,40,47,25,950.46,NO,NO,0.68,0.835
CR0048,F04,C015,3.7,0.31,2.6,1.1,80,30,51,24,198.41,NO,YES,0.411,0.899
CR0049,F04,C019,539.8,0.207,428.2,111.6,80,30,48,27,694.86,NO,YES,0.217,0.662
CR0050,F04,C020,1630.1,0.13,1417.6,212.5,60,40,59,27,592.47,NO,YES,0.456,0.651
CR0051,F04,C021,1524.5,0.172,1263.0,261.5,80,40,61,23,23.08,NO,YES,0.641,0.522
CR0052,F04,C022,653.1,0.199,523.3,129.8,80,40,56,20,596.36,NO,YES,0.547,0.673
CR0053,F04,C023,1132.5,0.258,840.7,291.8,80,30,50,16,1073.21,NO,NO,0.454,0.411
CR0054,F04,C024,643.6,0.117,568.6,75.0,80,30,60,21,398.65,NO,YES,0.141,0.701
CR0055,F04,W03,645.2,0.169,536.1,109.1,80,50,58,16,1060.49,NO,YES,0.187,0.838
CR0056,F04,W04,4.1,0.177,3.4,0.7,60,40,46,22,732.83,NO,YES,0.443,0.592
CR0057,S001,W01,5.6,0.106,5.0,0.6,80,40,49,18,921.23,NO,YES,1.143,0.76
CR0058,S001,W02,552.1,0.24,419.7,132.4,80,50,49,22,561.88,NO,YES,1.038,0.784
CR0059,S001,W03,368.2,0.111,327.4,40.8,80,30,59,25,1007.81,NO,NO,1.176,0.818
CR0060,S002,W01,550.3,0.163,460.4,89.9,60,50,57,18,320.27,NO,NO,0.276,0.638
CR0061,S002,W02,6.1,0.202,4.9,1.2,80,50,60,17,829.64,NO,YES,0.557,0.367
CR0062,S002,W03,294.2,0.231,226.1,68.1,80,30,52,26,469.77,NO,YES,0.51,0.689
CR0063,S003,W01,377.5,0.182,308.9,68.6,100,50,50,22,687.85,NO,YES,1.264,0.672
CR0064,S003,W02,290.0,0.175,239.1,50.9,100,50,56,23,363.82,NO,YES,0.326,0.575
CR0065,S003,W03,10.0,0.147,8.5,1.5,100,30,55,23,770.68,NO,YES,0.253,0.894
CR0066,S004,W03,642.9,0.05,610.8,32.1,100,30,57,23,1421.93,NO,YES,0.195,0.618
CR0067,S004,W04,1.6,0.264,1.2,0.4,60,30,48,24,705.22,NO,YES,0.355,0.848
CR0068,S004,W05,649.2,0.224,503.7,145.5,60,40,55,22,102.66,NO,NO,0.059,0.885
CR0069,S005,W03,949.9,0.077,876.4,73.5,80,50,58,19,1320.46,NO,YES,0.59,0.636
CR0070,S005,W04,652.5,0.186,531.1,121.4,100,40,49,18,149.49,YES,NO,0.42,0.596
CR0071,S005,W05,4.7,0.107,4.2,0.5,100,50,48,27,512.12,NO,YES,0.233,0.665
CR0072,S006,W03,1091.6,0.161,916.4,175.2,80,40,53,23,943.63,NO,YES,0.814,0.564
CR0073,S006,W04,798.3,0.103,716.2,82.1,100,50,49,16,734.49,NO,YES,0.461,0.49
CR0074,S006,W05,157.3,0.185,128.2,29.1,80,40,56,19,883.34,NO,YES,0.156,0.729
CR0075,S007,W01,722.1,0.126,631.3,90.8,80,30,46,25,891.73,NO,NO,0.062,0.774
CR0076,S007,W02,179.3,0.248,134.8,44.5,80,30,48,18,577.03,NO,NO,0.787,0.779
CR0077,S007,W03,475.8,0.285,340.3,135.5,80,50,49,26,809.92,YES,YES,0.268,0.771
CR0078,S008,W01,549.2,0.063,514.6,34.6,80,40,46,22,233.73,NO,YES,0.191,0.967
CR0079,S008,W02,224.9,0.277,162.6,62.3,60,40,50,18,426.77,NO,YES,0.345,0.875
CR0080,S008,W03,442.7,0.325,299.0,143.7,80,40,48,17,1040.1,YES,YES,0.575,0.681
CR0081,S009,W01,523.1,0.135,452.7,70.4,80,40,58,27,1359.17,NO,YES,0.318,0.859
CR0082,S009,W02,191.3,0.05,181.7,9.6,80,30,54,16,933.02,NO,NO,0.199,0.763
CR0083,S009,W03,170.3,0.06,160.0,10.3,80,50,59,18,238.82,NO,YES,0.243,0.553
CR0084,S010,W01,773.5,0.175,637.8,135.7,80,40,60,16,1343.27,NO,YES,0.636,0.633
CR0085,S010,W03,1028.7,0.162,862.1,166.6,60,30,52,19,801.19,YES,YES,0.069,0.642
CR0086,S010,W04,650.9,0.201,520.0,130.9,80,50,48,23,692.74,NO,YES,0.476,0.628
CR0087,S011,W01,1161.4,0.144,993.8,167.6,60,50,55,16,462.51,NO,YES,0.143,0.425
CR0088,S011,W04,545.4,0.172,451.8,93.6,80,50,50,16,127.55,NO,YES,0.85,0.862
CR0089,S011,W05,797.7,0.077,736.3,61.4,80,30,53,16,1437.24,NO,YES,0.179,0.523
CR0090,S012,W03,1598.8,0.05,1518.9,79.9,80,30,57,18,481.13,NO,YES,0.739,0.758
CR0091,S012,W04,1136.0,0.257,844.4,291.6,60,30,49,23,731.1,NO,YES,0.388,0.614
CR0092,S012,W05,674.6,0.236,515.3,159.3,60,30,59,19,769.19,NO,YES,0.682,0.886
CR0093,S013,W03,2254.8,0.147,1924.4,330.4,60,30,60,17,642.43,NO,YES,0.498,0.842
CR0094,S013,W04,1632.8,0.132,1417.2,215.6,100,30,53,20,28.59,YES,NO,0.876,0.652
CR0095,S013,W05,1521.9,0.079,1401.0,120.9,60,30,61,25,586.88,NO,YES,0.531,0.869
CR0096,S014,W01,1749.9,0.342,1151.7,598.2,100,40,54,26,149.25,NO,YES,0.33,0.642
CR0097,S014,W03,2011.6,0.242,1524.2,487.4,60,50,58,16,588.62,NO,YES,0.37,0.938
CR0098,S014,W04,1528.3,0.221,1190.6,337.7,100,40,55,19,425.25,NO,YES,0.093,0.73
