Customer_ID,Location,Product_ID,Daily_Demand,Priority
C001,Madurai,P011,8,1
C002,Mysuru,P012,9,3
C003,Visakhapatnam,P013,27,3
C004,Nagpur,P014,33,3
C005,Ahmedabad,P015,15,1
C006,Delhi,P011,35,1
C007,Kolkata,P012,9,3
C008,Kochi,P013,33,3
C009,Mangaluru,P014,37,1
C010,Tiruchirappalli,P015,32,3
C011,Mumbai,P011,30,3
C012,Pune,P012,34,2
C013,Chennai,P013,9,2
C014,Coimbatore,P014,14,1
C015,Hyderabad,P015,11,3
C016,Bengaluru,P011,24,2
C017,Kochi,P012,31,2
C018,Madurai,P013,28,1
C019,Nagpur,P014,35,2
C020,Delhi,P015,12,3
C021,Kolkata,P011,31,1
C022,Pune,P012,14,1
C023,Ahmedabad,P013,16,1
C024,Visakhapatnam,P014,30,2
