Date,Customer_ID,Product_ID,Demand_Quantity
2026-06-01,C001,P011,8
2026-06-02,C001,P011,8
2026-06-03,C001,P011,9
2026-06-04,C001,P011,7
2026-06-05,C001,P011,7
2026-06-06,C001,P011,9
2026-06-07,C001,P011,7
2026-06-08,C001,P011,7
2026-06-09,C001,P011,9
2026-06-10,C001,P011,9
2026-06-11,C001,P011,6
2026-06-12,C001,P011,9
2026-06-13,C001,P011,9
2026-06-14,C001,P011,8
2026-06-15,C001,P011,9
2026-06-16,C001,P011,6
2026-06-17,C001,P011,8
2026-06-18,C001,P011,7
2026-06-19,C001,P011,7
2026-06-20,C001,P011,8
2026-06-21,C001,P011,8
2026-06-22,C001,P011,10
2026-06-23,C001,P011,9
2026-06-24,C001,P011,7
2026-06-25,C001,P011,8
2026-06-26,C001,P011,8
2026-06-27,C001,P011,7
2026-06-28,C001,P011,7
2026-06-29,C001,P011,9
2026-06-30,C001,P011,8
2026-07-01,C001,P011,7
2026-07-02,C001,P011,8
2026-07-03,C001,P011,9
2026-07-04,C001,P011,8
2026-07-05,C001,P011,8
2026-07-06,C001,P011,9
2026-07-07,C001,P011,8
2026-07-08,C001,P011,10
2026-07-09,C001,P011,9
2026-07-10,C001,P011,7
2026-07-11,C001,P011,10
2026-07-12,C001,P011,7
2026-07-13,C001,P011,6
2026-07-14,C001,P011,7
2026-07-15,C001,P011,7
2026-07-16,C001,P011,8
2026-07-17,C001,P011,8
2026-07-18,C001,P011,7
2026-07-19,C001,P011,8
2026-07-20,C001,P011,8
2026-07-21,C001,P011,8
2026-07-22,C001,P011,8
2026-07-23,C001,P011,8
2026-07-24,C001,P011,5
2026-07-25,C001,P011,6
2026-07-26,C001,P011,4
2026-07-27,C001,P011,8
2026-07-28,C001,P011,8
2026-07-29,C001,P011,9
2026-07-30,C001,P011,9
2026-07-31,C001,P011,8
2026-08-01,C001,P011,7
2026-08-02,C001,P011,8
2026-08-03,C001,P011,8
2026-08-04,C001,P011,8
2026-08-05,C001,P011,10
2026-08-06,C001,P011,8
2026-08-07,C001,P011,10
2026-08-08,C001,P011,9
2026-08-09,C001,P011,7
2026-08-10,C001,P011,10
2026-08-11,C001,P011,9
2026-08-12,C001,P011,9
2026-08-13,C001,P011,7
2026-08-14,C001,P011,7
2026-08-15,C001,P011,7
2026-08-16,C001,P011,8
2026-08-17,C001,P011,7
2026-08-18,C001,P011,8
2026-08-19,C001,P011,6
2026-08-20,C001,P011,7
2026-08-21,C001,P011,8
2026-08-22,C001,P011,9
2026-08-23,C001,P011,5
2026-08-24,C001,P011,9
2026-08-25,C001,P011,8
2026-08-26,C001,P011,8
2026-08-27,C001,P011,8
2026-08-28,C001,P011,8
