Date,Node_ID,Node_Type,Product_ID,Opening_Inventory,Incoming_Quantity,Outgoing_Quantity,Closing_Inventory,Safety_Stock,Inventory_Risk,Days_of_Cover,Cover_vs_Safety
2026-06-01,W01,Warehouse,P001,701,33,101,633,154,HIGH,6.27,4.11
2026-06-02,W01,Warehouse,P001,682,64,120,626,154,HIGH,5.22,4.065
2026-06-03,W01,Warehouse,P001,700,16,13,703,154,LOW,54.08,4.565
2026-06-04,W01,Warehouse,P001,713,30,18,725,154,LOW,40.28,4.708
2026-06-05,W01,Warehouse,P001,734,26,124,636,154,HIGH,5.13,4.13
2026-06-06,W01,Warehouse,P001,714,52,38,728,154,MEDIUM,19.16,4.727
2026-06-07,W01,Warehouse,P001,752,1,46,707,154,MEDIUM,15.37,4.591
2026-06-08,W01,Warehouse,P001,737,41,202,576,154,CRITICAL,2.85,3.74
2026-06-09,W01,Warehouse,P001,722,32,50,704,154,MEDIUM,14.08,4.571
2026-06-10,W01,Warehouse,P001,734,50,15,769,154,LOW,51.27,4.994
2026-06-11,W01,Warehouse,P001,779,21,7,793,154,LOW,113.29,5.149
2026-06-12,W01,Warehouse,P001,798,52,95,755,154,HIGH,7.95,4.903
2026-06-13,W01,Warehouse,P001,815,58,209,664,154,CRITICAL,3.18,4.312
2026-06-14,W01,Warehouse,P001,824,40,309,555,154,CRITICAL,1.8,3.604
2026-06-15,W01,Warehouse,P001,793,90,18,865,154,LOW,48.06,5.617
2026-06-16,W01,Warehouse,P001,875,100,47,928,154,MEDIUM,19.74,6.026
2026-06-17,W01,Warehouse,P001,958,29,121,866,154,HIGH,7.16,5.623
2026-06-18,W01,Warehouse,P001,937,3,78,862,154,HIGH,11.05,5.597
2026-06-19,W01,Warehouse,P001,907,21,134,794,154,HIGH,5.93,5.156
2026-06-20,W01,Warehouse,P001,885,89,268,706,154,CRITICAL,2.63,4.584
2026-06-21,W01,Warehouse,P001,893,23,142,774,154,HIGH,5.45,5.026
2026-06-22,W01,Warehouse,P001,868,51,90,829,154,HIGH,9.21,5.383
2026-06-23,W01,Warehouse,P001,884,69,226,727,154,CRITICAL,3.22,4.721
2026-06-24,W01,Warehouse,P001,866,43,22,887,154,LOW,40.32,5.76
2026-06-25,W01,Warehouse,P001,904,103,349,658,154,CRITICAL,1.89,4.273
