Date,Node_ID,Node_Type,Product_ID,Opening_Inventory,Incoming_Quantity,Outgoing_Quantity,Closing_Inventory,Safety_Stock,Inventory_Risk
2026-06-01,W01,Warehouse,P001,701,33,52,682,154,LOW
2026-06-02,W01,Warehouse,P001,682,64,46,700,154,LOW
2026-06-03,W01,Warehouse,P001,700,16,3,713,154,LOW
2026-06-04,W01,Warehouse,P001,713,30,9,734,154,LOW
2026-06-05,W01,Warehouse,P001,734,26,46,714,154,LOW
2026-06-06,W01,Warehouse,P001,714,52,14,752,154,LOW
2026-06-07,W01,Warehouse,P001,752,1,16,737,154,LOW
2026-06-08,W01,Warehouse,P001,737,41,56,722,154,LOW
2026-06-09,W01,Warehouse,P001,722,32,20,734,154,LOW
2026-06-10,W01,Warehouse,P001,734,50,5,779,154,LOW
2026-06-11,W01,Warehouse,P001,779,21,2,798,154,LOW
2026-06-12,W01,Warehouse,P001,798,52,35,815,154,LOW
2026-06-13,W01,Warehouse,P001,815,58,49,824,154,LOW
2026-06-14,W01,Warehouse,P001,824,40,71,793,154,LOW
2026-06-15,W01,Warehouse,P001,793,90,8,875,154,LOW
2026-06-16,W01,Warehouse,P001,875,100,17,958,154,LOW
2026-06-17,W01,Warehouse,P001,958,29,50,937,154,LOW
2026-06-18,W01,Warehouse,P001,937,3,33,907,154,LOW
2026-06-19,W01,Warehouse,P001,907,21,43,885,154,LOW
2026-06-20,W01,Warehouse,P001,885,89,81,893,154,LOW
2026-06-21,W01,Warehouse,P001,893,23,48,868,154,LOW
2026-06-22,W01,Warehouse,P001,868,51,35,884,154,LOW
2026-06-23,W01,Warehouse,P001,884,69,87,866,154,LOW
2026-06-24,W01,Warehouse,P001,866,43,5,904,154,LOW
2026-06-25,W01,Warehouse,P001,904,103,83,924,154,LOW
2026-06-26,W01,Warehouse,P001,924,37,46,915,154,LOW
2026-06-27,W01,Warehouse,P001,915,98,45,968,154,LOW
2026-06-28,W01,Warehouse,P001,968,58,88,938,154,LOW
2026-06-29,W01,Warehouse,P001,938,96,47,987,154,LOW
2026-06-30,W01,Warehouse,P001,987,19,42,964,154,LOW
2026-06-01,W01,Warehouse,P002,420,35,11,444,92,LOW
2026-06-02,W01,Warehouse,P002,444,29,28,445,92,LOW
2026-06-03,W01,Warehouse,P002,445,4,25,424,92,LOW
2026-06-04,W01,Warehouse,P002,424,39,9,454,92,LOW
2026-06-05,W01,Warehouse,P002,454,30,31,453,92,LOW
2026-06-06,W01,Warehouse,P002,453,2,28,427,92,LOW
2026-06-07,W01,Warehouse,P002,427,13,16,424,92,LOW
2026-06-08,W01,Warehouse,P002,424,34,0,458,92,LOW
2026-06-09,W01,Warehouse,P002,458,0,20,438,92,LOW
2026-06-10,W01,Warehouse,P002,438,51,0,489,92,LOW
2026-06-11,W01,Warehouse,P002,489,48,3,534,92,LOW
2026-06-12,W01,Warehouse,P002,534,32,22,544,92,LOW
2026-06-13,W01,Warehouse,P002,544,31,4,571,92,LOW
2026-06-14,W01,Warehouse,P002,571,53,15,609,92,LOW
2026-06-15,W01,Warehouse,P002,609,58,39,628,92,LOW
2026-06-16,W01,Warehouse,P002,628,43,19,652,92,LOW
2026-06-17,W01,Warehouse,P002,652,52,64,640,92,LOW
2026-06-18,W01,Warehouse,P002,640,73,58,655,92,LOW
2026-06-19,W01,Warehouse,P002,655,17,38,634,92,LOW
2026-06-20,W01,Warehouse,P002,634,31,60,605,92,LOW
2026-06-21,W01,Warehouse,P002,605,71,52,624,92,LOW
2026-06-22,W01,Warehouse,P002,624,12,19,617,92,LOW
