Route_ID,Origin,Destination,Distance_km,Transport_Mode,Transit_Time_days,Cost_per_km_per_ton,CO2_per_ton_km,Route_Reliability,Route_Status
R001,W05,C011,141.8,Truck,1,0.075,0.105,0.955,AVAILABLE
R002,S006,W05,141.8,Truck,1,0.075,0.105,0.956,AVAILABLE
R003,S009,W03,151.1,Truck,1,0.075,0.105,0.947,AVAILABLE
R004,W03,C002,151.1,Truck,1,0.075,0.105,0.921,AVAILABLE
R005,F03,C002,151.1,Truck,1,0.075,0.105,0.921,AVAILABLE
R006,W02,C008,167.9,Truck,1,0.075,0.105,0.991,AVAILABLE
R007,S007,W02,167.9,Truck,1,0.075,0.105,0.951,AVAILABLE
R008,F02,C008,167.9,Truck,1,0.075,0.105,0.991,AVAILABLE
R009,W02,C017,167.9,Truck,1,0.075,0.105,0.924,AVAILABLE
R010,F02,C017,167.9,Truck,1,0.075,0.105,0.957,AVAILABLE
R011,F02,C002,172.7,Truck,1,0.075,0.105,0.928,AVAILABLE
R012,W02,C002,172.7,Truck,1,0.075,0.105,0.932,AVAILABLE
R013,S009,W02,172.7,Truck,1,0.075,0.105,0.913,AVAILABLE
R014,W02,C001,207.5,Truck,1,0.075,0.105,0.92,AVAILABLE
R015,F02,C018,207.5,Truck,1,0.075,0.105,0.988,AVAILABLE
R016,S008,W02,207.5,Truck,1,0.075,0.105,0.937,AVAILABLE
R017,F02,C001,207.5,Truck,1,0.075,0.105,0.962,AVAILABLE
R018,W02,C018,207.5,Truck,1,0.075,0.105,0.95,AVAILABLE
R019,F02,C010,227.3,Truck,1,0.075,0.105,0.944,AVAILABLE
R020,W02,C010,227.3,Truck,1,0.075,0.105,0.955,AVAILABLE
R021,W03,F02,269.3,Truck,1,0.075,0.105,0.926,AVAILABLE
R022,F02,C016,269.3,Truck,1,0.075,0.105,0.994,AVAILABLE
R023,W02,F03,269.3,Truck,1,0.075,0.105,0.98,AVAILABLE
R024,S003,W02,269.3,Truck,1,0.075,0.105,0.973,AVAILABLE
R025,F02,W03,269.3,Truck,1,0.075,0.105,0.95,AVAILABLE
R026,S002,W03,269.3,Truck,1,0.075,0.105,0.923,AVAILABLE
R027,F03,C014,269.3,Truck,1,0.075,0.105,0.988,AVAILABLE
R028,W03,C014,269.3,Truck,1,0.075,0.105,0.939,AVAILABLE
R029,F03,W02,269.3,Truck,1,0.075,0.105,0.914,AVAILABLE
R030,W02,C016,269.3,Truck,1,0.075,0.105,0.939,AVAILABLE
R031,W03,C010,319.7,Truck,1,0.075,0.105,0.978,AVAILABLE
R032,F03,C010,319.7,Truck,1,0.075,0.105,0.963,AVAILABLE
R033,S003,W01,342.4,Truck,1,0.075,0.105,0.974,AVAILABLE
R034,F03,C013,342.4,Truck,1,0.075,0.105,0.977,AVAILABLE
R035,W03,C013,342.4,Truck,1,0.075,0.105,0.928,AVAILABLE
R036,F01,W03,342.4,Truck,1,0.075,0.105,0.989,AVAILABLE
R037,W01,F03,342.4,Truck,1,0.075,0.105,0.947,AVAILABLE
R038,W03,F01,342.4,Truck,1,0.075,0.105,0.964,AVAILABLE
R039,F03,W01,342.4,Truck,1,0.075,0.105,0.91,AVAILABLE
R040,S001,W03,342.4,Truck,1,0.075,0.105,0.994,AVAILABLE
R041,F01,C016,342.4,Truck,1,0.075,0.105,0.934,AVAILABLE
R042,W01,C016,342.4,Truck,1,0.075,0.105,0.915,AVAILABLE
R043,F03,C009,350.3,Truck,1,0.075,0.105,0.949,AVAILABLE
R044,W03,C009,350.3,Truck,1,0.075,0.105,0.921,AVAILABLE
R045,S015,W03,350.3,Truck,1,0.075,0.105,0.923,AVAILABLE
