Parcel_ID,Origin_Node,Destination_Node,Product_ID,Quantity,Gross_Weight_kg,Volume_m3,Chargeable_Weight_Air_kg,Chargeable_Weight_Road_kg,Parcel_Type,Fragility,Hazmat_Class,Declared_Value_INR,Ready_At,Deadline_At,Service_Level,Status
PCL0001,S006,C003,P013,295,708.0,2.63228,708.0,877.43,Fragile,Fragile,NONE,245182.62,2026-09-29T08:00,2026-10-03T08:00,Economy,BOOKED
PCL0002,S011,C001,P008,90,7.2,0.03582,7.2,11.94,Fragile,Fragile,NONE,15693.89,2026-09-30T03:00,2026-10-07T03:00,Standard,BOOKED
PCL0003,S012,C016,P012,116,81.2,0.414,81.2,138.0,Fragile,Fragile,NONE,72847.93,2026-09-30T19:00,2026-10-05T19:00,Economy,BOOKED
PCL0004,S012,C003,P005,303,6.06,0.03394,6.06,11.31,Fragile,Fragile,NONE,163506.35,2026-10-01T22:00,2026-10-06T22:00,Economy,BOOKED
PCL0005,S013,C020,P005,236,4.72,0.02643,4.72,8.81,Fragile,Fragile,NONE,182112.42,2026-09-26T18:00,2026-10-03T18:00,Economy,BOOKED
PCL0006,S015,C001,P014,226,474.6,1.8975,474.6,632.5,Fragile,Fragile,NONE,167988.48,2026-09-24T22:00,2026-10-01T22:00,Standard,BOOKED
PCL0007,S011,C020,P005,203,4.06,0.02274,4.06,7.58,Fragile,Fragile,NONE,164257.35,2026-09-20T17:00,2026-09-26T17:00,Economy,BOOKED
PCL0008,S013,C006,P014,52,109.2,0.43659,109.2,145.53,Fragile,Fragile,NONE,17384.67,2026-10-02T09:00,2026-10-07T09:00,Economy,BOOKED
PCL0009,S001,C006,P004,99,17.82,0.09841,17.82,32.8,Fragile,Fragile,NONE,40904.44,2026-09-26T03:00,2026-10-02T03:00,Express,BOOKED
PCL0010,S013,C015,P010,99,6.93,0.03811,6.93,12.7,Fragile,Fragile,NONE,18129.49,2026-09-28T03:00,2026-10-02T03:00,Economy,BOOKED
PCL0011,S004,C002,P013,200,480.0,1.7846,480.0,594.87,Fragile,Fragile,NONE,133809.22,2026-09-22T01:00,2026-09-27T01:00,Standard,BOOKED
PCL0012,S005,C011,P006,381,11.43,0.07734,12.89,25.78,Fragile,Fragile,NONE,180286.74,2026-09-23T05:00,2026-09-30T05:00,Standard,BOOKED
PCL0013,W02,C014,P001,92,818.8,1.955,818.8,818.8,General,Standard,NONE,10615.91,2026-09-27T09:00,2026-10-01T09:00,Economy,BOOKED
PCL0014,S002,C004,P011,361,649.8,2.87753,649.8,959.18,Fragile,Fragile,NONE,184188.8,2026-09-18T12:00,2026-09-20T12:00,Standard,BOOKED
PCL0015,S002,C019,P005,97,1.94,0.01086,1.94,3.62,Fragile,Fragile,NONE,30347.05,2026-09-21T17:00,2026-09-24T17:00,Standard,BOOKED
PCL0016,S008,C002,P010,128,8.96,0.04928,8.96,16.43,Fragile,Fragile,NONE,69842.12,2026-09-23T19:00,2026-09-27T19:00,Express,BOOKED
PCL0017,S014,C019,P015,287,401.8,1.67665,401.8,558.88,Fragile,Fragile,NONE,105481.1,2026-09-21T11:00,2026-09-28T11:00,Standard,BOOKED
PCL0018,S003,C013,P003,381,457.2,0.81305,457.2,457.2,Hazmat,Standard,UN3082,311891.23,2026-09-25T10:00,2026-09-30T10:00,Standard,BOOKED
PCL0019,S012,C002,P006,286,8.58,0.05806,9.68,19.35,Fragile,Fragile,NONE,113955.02,2026-09-23T12:00,2026-09-28T12:00,Standard,BOOKED
PCL0020,S010,C017,P015,273,382.2,1.59487,382.2,531.62,Fragile,Fragile,NONE,258192.4,2026-09-19T20:00,2026-09-23T20:00,Standard,BOOKED
PCL0021,W01,C014,P014,42,88.2,0.35263,88.2,117.54,Fragile,Fragile,NONE,33931.61,2026-09-23T15:00,2026-09-24T15:00,Express,BOOKED
