Service_ID,Route_ID,Origin,Destination,Distance_km,Departures_per_Week,Wagon_Capacity_tons,Wagons_per_Rake,Terminal_Handling_Hours,Transit_Time_days,Cost_per_ton_km,CO2_per_ton_km,Accepts_Hazmat,Service_Status
RL0001,R0002,F01,C003,703.8,3,61,58,14.8,4,0.04106,0.02329,YES,ACTIVE
RL0002,R0004,F01,C004,1065.5,4,58,42,6.6,4,0.03385,0.0253,YES,ACTIVE
RL0003,R0007,F01,C007,1596.6,4,58,45,25.0,5,0.02776,0.03373,YES,ACTIVE
RL0004,R0012,F01,C019,1063.3,3,61,42,18.4,4,0.03105,0.02706,YES,ACTIVE
RL0005,R0015,F01,C021,1602.1,3,58,45,10.1,5,0.04357,0.02188,YES,ACTIVE
RL0006,R0018,F01,C024,701.8,6,58,45,14.2,4,0.04088,0.0239,YES,ACTIVE
RL0007,R0023,F01,W03,340.9,7,58,58,6.4,3,0.0322,0.02633,YES,ACTIVE
RL0008,R0047,F03,C001,403.9,4,65,45,20.3,3,0.02692,0.03512,YES,ACTIVE
RL0009,R0051,F03,C005,1457.4,7,58,58,6.8,5,0.03386,0.02918,YES,SUSPENDED
RL0010,R0054,F03,C006,2062.5,2,65,58,11.1,6,0.03148,0.03784,YES,ACTIVE
RL0011,R0057,F03,C008,433.4,7,65,45,16.3,3,0.04156,0.01923,YES,ACTIVE
RL0012,R0062,F03,C010,320.0,7,65,58,12.2,3,0.02886,0.03484,YES,ACTIVE
RL0013,R0064,F03,C011,999.6,5,65,42,9.8,4,0.032,0.02524,YES,ACTIVE
RL0014,R0067,F03,C012,866.4,6,65,58,16.6,4,0.02712,0.03315,YES,ACTIVE
RL0015,R0071,F03,C013,343.0,6,61,58,22.3,3,0.03393,0.03444,YES,ACTIVE
RL0016,R0075,F03,C015,588.6,5,61,58,16.2,3,0.02586,0.03263,YES,ACTIVE
RL0017,R0079,F03,C017,434.0,6,65,58,13.7,3,0.04425,0.02203,YES,ACTIVE
RL0018,R0081,F03,C018,406.4,3,58,45,16.9,3,0.03166,0.03453,YES,ACTIVE
RL0019,R0083,F03,C020,2063.6,5,65,45,10.4,6,0.03148,0.02275,YES,ACTIVE
RL0020,R0086,F03,C022,869.2,3,61,42,10.1,4,0.0328,0.03954,YES,ACTIVE
RL0021,R0089,F03,C023,1458.8,7,58,45,22.6,5,0.0438,0.01982,YES,ACTIVE
RL0022,R0096,F04,C003,591.6,2,65,45,17.7,3,0.04414,0.02241,YES,ACTIVE
RL0023,R0098,F04,C004,495.2,5,65,42,15.9,3,0.03479,0.02872,YES,ACTIVE
RL0024,R0100,F04,C005,1033.5,4,61,42,16.0,4,0.03618,0.03134,YES,ACTIVE
RL0025,R0103,F04,C006,1489.8,5,61,42,9.7,5,0.02904,0.03374,YES,ACTIVE
RL0026,R0106,F04,C007,1390.2,3,61,58,23.6,5,0.02907,0.03905,YES,ACTIVE
RL0027,R0109,F04,C011,734.2,3,65,42,23.5,4,0.02615,0.03452,YES,ACTIVE
RL0028,R0111,F04,C012,598.7,2,61,45,24.9,3,0.04283,0.0216,YES,ACTIVE
RL0029,R0115,F04,C019,493.8,7,58,42,17.9,3,0.04219,0.02077,YES,SUSPENDED
RL0030,R0117,F04,C020,1491.1,2,65,58,13.9,5,0.03628,0.02664,YES,ACTIVE
RL0031,R0120,F04,C021,1394.5,2,61,42,19.9,5,0.0408,0.02139,YES,ACTIVE
RL0032,R0123,F04,C022,597.4,7,61,45,16.0,3,0.03493,0.03027,YES,ACTIVE
RL0033,R0125,F04,C023,1035.9,2,58,45,8.9,4,0.03739,0.02797,YES,SUSPENDED
RL0034,R0128,F04,C024,588.8,5,58,58,9.9,3,0.03297,0.03102,YES,ACTIVE
RL0035,R0130,F04,W03,590.2,5,61,42,7.1,3,0.03122,0.03567,YES,ACTIVE
RL0036,R0136,S001,W02,505.0,6,61,58,7.7,3,0.03137,0.03114,YES,ACTIVE
RL0037,R0139,S001,W03,336.8,5,58,45,10.7,3,0.03199,0.0279,YES,ACTIVE
RL0038,R0141,S002,W01,503.4,3,58,45,15.3,3,0.03507,0.02658,YES,SUSPENDED
RL0039,R0148,S003,W01,345.3,3,61,58,25.6,3,0.03849,0.01907,YES,ACTIVE
RL0040,R0154,S004,W03,588.0,6,58,58,10.8,3,0.03818,0.02806,YES,ACTIVE
RL0041,R0158,S004,W05,593.9,3,65,42,15.1,3,0.03762,0.02812,YES,ACTIVE
RL0042,R0160,S005,W03,868.9,2,58,45,13.1,4,0.03865,0.02038,YES,ACTIVE
RL0043,R0163,S005,W04,596.9,6,61,42,16.8,3,0.03313,0.02895,YES,ACTIVE
RL0044,R0167,S006,W03,998.5,2,61,58,9.2,4,0.03911,0.02296,YES,ACTIVE
RL0045,R0170,S006,W04,730.3,2,58,42,9.4,4,0.03164,0.03828,YES,ACTIVE
RL0046,R0174,S007,W01,660.5,5,58,45,17.0,4,0.03681,0.02895,YES,ACTIVE
RL0047,R0178,S007,W03,435.2,5,65,45,7.8,3,0.03027,0.03584,YES,ACTIVE
RL0048,R0180,S008,W01,502.4,7,58,58,12.3,3,0.03738,0.02248,YES,ACTIVE
RL0049,R0184,S008,W03,404.9,3,65,58,24.9,3,0.03349,0.0272,YES,ACTIVE
RL0050,R0191,S010,W01,707.5,6,61,45,24.1,4,0.04571,0.02127,YES,ACTIVE
RL0051,R0193,S010,W03,941.0,4,58,45,18.8,4,0.02924,0.03665,YES,ACTIVE
RL0052,R0196,S010,W04,595.4,6,58,42,12.3,3,0.03988,0.02712,YES,ACTIVE
RL0053,R0198,S011,W01,1062.3,4,61,45,22.4,4,0.03864,0.02177,YES,ACTIVE
RL0054,R0201,S011,W04,498.9,5,65,58,24.5,3,0.03174,0.02513,YES,ACTIVE
RL0055,R0203,S011,W05,729.7,2,61,42,10.8,4,0.04202,0.02471,YES,ACTIVE
RL0056,R0205,S012,W03,1462.5,4,61,42,25.0,5,0.03755,0.02546,YES,ACTIVE
RL0057,R0208,S012,W04,1039.1,6,58,45,15.0,4,0.03165,0.03529,YES,ACTIVE
RL0058,R0211,S012,W05,617.1,3,65,42,25.1,3,0.03935,0.02812,YES,ACTIVE
RL0059,R0213,S013,W03,2062.5,3,61,58,25.3,6,0.04464,0.02286,YES,ACTIVE
RL0060,R0216,S013,W04,1493.6,6,58,45,8.4,5,0.02776,0.03439,YES,ACTIVE
RL0061,R0219,S013,W05,1392.1,5,61,42,19.9,5,0.03717,0.02097,YES,ACTIVE
RL0062,R0222,S014,W01,1600.7,7,58,58,18.9,5,0.04775,0.02374,YES,ACTIVE
RL0063,R0225,S014,W03,1840.0,4,65,42,6.6,5,0.04003,0.02104,YES,ACTIVE
RL0064,R0228,S014,W04,1398.0,4,61,45,9.1,5,0.0421,0.02421,YES,ACTIVE
RL0065,R0236,W01,C003,702.0,5,58,45,11.5,4,0.0408,0.02707,YES,ACTIVE
RL0066,R0238,W01,C007,1595.2,2,58,45,24.5,5,0.0445,0.02306,YES,ACTIVE
RL0067,R0243,W01,C021,1600.7,5,58,45,7.5,5,0.03563,0.02252,YES,ACTIVE
RL0068,R0246,W01,C024,699.9,4,58,58,22.7,4,0.03918,0.02305,YES,ACTIVE
RL0069,R0250,W01,F02,507.0,6,58,42,12.5,3,0.03126,0.02776,YES,ACTIVE
RL0070,R0253,W01,F03,341.0,2,61,45,24.1,3,0.03677,0.02699,YES,ACTIVE
RL0071,R0255,W01,F04,604.3,6,61,45,17.2,3,0.0381,0.02267,YES,ACTIVE
RL0072,R0275,W02,F01,509.1,3,65,58,20.2,3,0.04189,0.02152,YES,ACTIVE
RL0073,R0281,W02,F04,862.1,2,61,58,16.4,4,0.03583,0.02865,YES,ACTIVE
RL0074,R0284,W03,C001,404.8,5,65,58,16.0,3,0.03853,0.02325,YES,ACTIVE
RL0075,R0288,W03,C008,435.5,6,58,42,17.8,3,0.04692,0.02164,YES,ACTIVE
RL0076,R0293,W03,C010,320.2,7,58,45,25.0,3,0.03618,0.0278,YES,ACTIVE
RL0077,R0296,W03,C013,340.6,4,61,58,13.7,3,0.03247,0.03734,YES,SUSPENDED
RL0078,R0300,W03,C015,586.8,5,58,42,15.6,3,0.03315,0.03021,YES,ACTIVE
RL0079,R0304,W03,C017,436.1,5,61,58,20.6,3,0.03618,0.03127,YES,ACTIVE
RL0080,R0306,W03,C018,407.3,2,61,42,16.2,3,0.03101,0.03475,YES,ACTIVE
RL0081,R0309,W03,F01,340.9,5,58,45,23.1,3,0.03773,0.0304,YES,ACTIVE
