Shipment_ID,Supplier_ID,Origin,Destination,Product_ID,Quantity,Departure_Date,Expected_Arrival_Date,Actual_Arrival_Date,Status,Route_ID,Transport_Mode,Delay_days,On_Time
SH0001,S015,S015,W03,P009,133,2026-07-19,2026-07-20,2026-07-21,DELIVERED,R045,Truck,1,0
SH0002,S015,S015,W03,P009,48,2026-07-12,2026-07-13,2026-07-13,DELIVERED,R045,Truck,0,1
SH0003,S009,S009,W03,P009,71,2026-08-21,2026-08-22,2026-08-22,IN_TRANSIT,R003,Truck,0,1
SH0004,S015,S015,W03,P006,95,2026-06-03,2026-06-04,2026-06-04,DELIVERED,R045,Truck,0,1
SH0005,S006,S006,W05,P006,35,2026-06-14,2026-06-15,2026-06-15,DELIVERED,R002,Truck,0,1
SH0006,,W02,C008,P013,40,2026-06-03,2026-06-04,2026-06-05,DELIVERED_LATE,R006,Truck,1,0
SH0007,S002,S002,W03,P002,26,2026-06-08,2026-06-09,2026-06-09,DELIVERED,R026,Truck,0,1
SH0008,S008,S008,W02,P001,76,2026-07-23,2026-07-24,2026-07-25,DELIVERED,R016,Truck,1,0
SH0009,,F02,W03,P013,90,2026-07-12,2026-07-13,2026-07-13,DELIVERED,R025,Truck,0,1
SH0010,S009,S009,W02,P009,174,2026-07-02,2026-07-03,2026-07-04,DELIVERED_LATE,R013,Truck,1,0
SH0011,,W03,C013,P013,32,2026-08-13,2026-08-14,2026-08-14,DELIVERED,R035,Truck,0,1
SH0012,S002,S002,W03,P009,41,2026-08-20,2026-08-21,2026-08-21,IN_TRANSIT,R026,Truck,0,1
SH0013,S006,S006,W05,P003,60,2026-08-13,2026-08-14,2026-08-16,DELIVERED_LATE,R002,Truck,2,0
SH0014,S002,S002,W03,P005,73,2026-06-05,2026-06-06,2026-06-08,DELIVERED_LATE,R026,Truck,2,0
SH0015,S002,S002,W03,P010,24,2026-07-11,2026-07-12,2026-07-12,DELIVERED,R026,Truck,0,1
SH0016,S006,S006,W05,P006,38,2026-08-19,2026-08-20,2026-08-22,IN_TRANSIT,R002,Truck,2,0
SH0017,,W03,C010,P015,34,2026-07-17,2026-07-18,2026-07-19,DELIVERED,R031,Truck,1,0
SH0018,S015,S015,W03,P002,66,2026-07-12,2026-07-13,2026-07-13,DELIVERED,R045,Truck,0,1
SH0019,S003,S003,W01,P006,158,2026-06-09,2026-06-10,2026-06-10,DELIVERED,R033,Truck,0,1
SH0020,S002,S002,W03,P005,69,2026-06-28,2026-06-29,2026-06-29,DELIVERED,R026,Truck,0,1
SH0021,,W03,C014,P014,28,2026-08-07,2026-08-08,2026-08-09,DELIVERED,R028,Truck,1,0
SH0022,S002,S002,W03,P005,108,2026-07-22,2026-07-23,2026-07-23,DELIVERED,R026,Truck,0,1
SH0023,,W02,C010,P015,56,2026-07-05,2026-07-06,2026-07-06,DELIVERED,R020,Truck,0,1
SH0024,,W02,C010,P015,53,2026-07-14,2026-07-15,2026-07-15,DELIVERED,R020,Truck,0,1
SH0025,S003,S003,W01,P005,171,2026-07-12,2026-07-13,2026-07-13,DELIVERED,R033,Truck,0,1
SH0026,,W03,F01,P001,17,2026-06-21,2026-06-22,2026-06-22,DELIVERED,R038,Truck,0,1
SH0027,S007,S007,W02,P006,76,2026-06-29,2026-06-30,2026-06-30,DELIVERED,R007,Truck,0,1
SH0028,S015,S015,W03,P008,149,2026-06-25,2026-06-26,2026-06-28,DELIVERED_LATE,R045,Truck,2,0
SH0029,S009,S009,W02,P009,74,2026-08-03,2026-08-04,2026-08-06,DELIVERED_LATE,R013,Truck,2,0
SH0030,S007,S007,W02,P006,50,2026-06-09,2026-06-10,2026-06-11,DELIVERED,R007,Truck,1,0
SH0031,S009,S009,W03,P001,127,2026-08-10,2026-08-11,2026-08-12,DELIVERED_LATE,R003,Truck,1,0
SH0032,S002,S002,W03,P008,161,2026-08-05,2026-08-06,2026-08-06,DELIVERED,R026,Truck,0,1
SH0033,S007,S007,W02,P008,25,2026-07-15,2026-07-16,2026-07-16,DELIVERED,R007,Truck,0,1
SH0034,,W02,C018,P013,7,2026-06-02,2026-06-03,2026-06-03,DELIVERED,R018,Truck,0,1
SH0035,S003,S003,W02,P008,67,2026-07-01,2026-07-02,2026-07-02,DELIVERED,R024,Truck,0,1
SH0036,S015,S015,W03,P008,96,2026-07-18,2026-07-19,2026-07-20,DELIVERED,R045,Truck,1,0
SH0037,S003,S003,W02,P006,157,2026-06-28,2026-06-29,2026-06-29,DELIVERED,R024,Truck,0,1
