Route_ID,Origin,Destination,Origin_Type,Destination_Type,Distance_km,Transport_Mode,Transit_Time_days,Cost_per_km_per_ton,CO2_per_ton_km,Route_Reliability,Route_Status,Avg_Speed_kmph,Terminal_Dwell_days,Fleet_Tier
R0001,F01,C003,Factory,Customer,769.4,Truck_Diesel,2,0.05896,0.13551,0.93,AVAILABLE,55,0,Legacy
R0002,F01,C003,Factory,Customer,703.8,Rail,4,0.04106,0.02329,0.929,AVAILABLE,32,2,Modern
R0003,F01,C004,Factory,Customer,1164.9,Truck_Diesel,3,0.06256,0.13914,0.907,AVAILABLE,55,0,Legacy
R0004,F01,C004,Factory,Customer,1065.5,Rail,4,0.03385,0.0253,0.957,AVAILABLE,32,2,Standard
R0005,F01,C004,Factory,Customer,903.0,Air,2,0.89253,0.6522,0.965,AVAILABLE,620,1,Standard
R0006,F01,C007,Factory,Customer,1745.4,Truck_Diesel,4,0.0765,0.11392,0.978,AVAILABLE,55,0,Standard
R0007,F01,C007,Factory,Customer,1596.6,Rail,5,0.02776,0.03373,0.929,AVAILABLE,32,2,Legacy
R0008,F01,C007,Factory,Customer,1353.0,Air,2,0.96661,0.59535,0.931,AVAILABLE,620,1,Standard
R0009,F01,C013,Factory,Customer,4.8,Truck_Diesel,1,0.09624,0.09351,0.999,CONGESTED,55,0,Modern
R0010,F01,C013,Factory,Customer,4.8,Truck_Electric,1,0.07791,0.03478,0.932,AVAILABLE,48,0,Standard
R0011,F01,C019,Factory,Customer,1162.4,Truck_Diesel,3,0.07406,0.11194,0.959,AVAILABLE,55,0,Standard
R0012,F01,C019,Factory,Customer,1063.3,Rail,4,0.03105,0.02706,0.953,AVAILABLE,32,2,Standard
R0013,F01,C019,Factory,Customer,901.1,Air,2,1.20343,0.46385,0.939,AVAILABLE,620,1,Modern
R0014,F01,C021,Factory,Customer,1751.5,Truck_Diesel,4,0.09084,0.09995,0.978,AVAILABLE,55,0,Standard
R0015,F01,C021,Factory,Customer,1602.1,Rail,5,0.04357,0.02188,0.954,CONGESTED,32,2,Modern
R0016,F01,C021,Factory,Customer,1357.7,Air,2,0.72144,0.71343,0.936,AVAILABLE,620,1,Legacy
